provnum,facilityid,provname,acquisitiondate,region,market,cluster,acquired_year,acquired_month,acquired_day,state,county_name,city,date,year,month,occupancy,age
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2017-10-01,2017,10,0.6348144,1
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2017-11-01,2017,11,0.6490566,2
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2017-12-01,2017,12,0.63298845,3
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-01-01,2018,1,0.6710286,4
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-02-01,2018,2,0.7334906,5
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-03-01,2018,3,0.7346318,6
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-04-01,2018,4,0.70314467,7
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-05-01,2018,5,0.6664638,8
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-06-01,2018,6,0.6889937,9
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-07-01,2018,7,0.69720024,10
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-08-01,2018,8,0.7051126,11
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-09-01,2018,9,0.70503145,12
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-10-01,2018,10,0.7574559,13
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-11-01,2018,11,0.763522,14
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2018-12-01,2018,12,0.7647596,15
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-01-01,2019,1,0.7909312,16
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-02-01,2019,2,0.7830189,17
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-03-01,2019,3,0.80401707,18
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-04-01,2019,4,0.78522015,19
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-05-01,2019,5,0.71119905,20
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-06-01,2019,6,0.7028302,21
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-07-01,2019,7,0.63907486,22
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-08-01,2019,8,0.7650639,23
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-09-01,2019,9,0.7861635,24
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-10-01,2019,10,0.7678028,25
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-11-01,2019,11,0.7572327,26
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2019-12-01,2019,12,0.74284846,27
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-04-01,2020,4,0.631761,31
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-05-01,2020,5,0.7763238,32
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-06-01,2020,6,0.8034591,33
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-07-01,2020,7,0.8034084,34
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-08-01,2020,8,0.6676811,35
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-09-01,2020,9,0.6918239,36
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-10-01,2020,10,0.7449787,37
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-11-01,2020,11,0.7311321,38
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2020-12-01,2020,12,0.70328665,39
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2021-01-01,2021,1,0.80949485,40
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2021-02-01,2021,2,0.7469677,41
035164,284.0,Desert Blossom,2017-09-01,Arizona,Bandera Phoenix East,San Tan,2017.0,9.0,1.0,AZ,Maricopa,MESA,2021-03-01,2021,3,0.69293976,42
